community	mainIncomeCommunity	populationSize	locality	sessionID	female	socialFirst	sequencePosition	asocialYes	socialYes	yes	propYes	lagOnePropYes	socialTmt	agricultureComm	eastGezira	numInSession	numFemalesInSession	propFemalesInSession	uniqueSubjectID
112	agriculture	2884	EastGezira	1	0	1	1	0	0	0	0	NA	0	1	1	6	0	0	1
112	agriculture	2884	EastGezira	1	0	1	2	0	0	0	0	0	0	1	1	6	0	0	2
112	agriculture	2884	EastGezira	1	0	1	3	0	1	0	0	0	0	1	1	6	0	0	3
112	agriculture	2884	EastGezira	1	0	1	4	0	0	0	0	0	0	1	1	6	0	0	4
112	agriculture	2884	EastGezira	1	0	1	5	0	0	0	0	0	0	1	1	6	0	0	5
112	agriculture	2884	EastGezira	1	0	1	6	0	0	0	0	0	0	1	1	6	0	0	6
112	agriculture	2884	EastGezira	2	0	0	1	0	0	0	0	NA	0	1	1	10	0	0	7
112	agriculture	2884	EastGezira	2	0	0	2	0	0	0	0	0	0	1	1	10	0	0	8
112	agriculture	2884	EastGezira	2	0	0	3	1	1	1	0.333333333333333	0	0	1	1	10	0	0	9
112	agriculture	2884	EastGezira	2	0	0	4	0	0	0	0.25	0.333333333333333	0	1	1	10	0	0	10
112	agriculture	2884	EastGezira	2	0	0	5	1	0	1	0.4	0.25	0	1	1	10	0	0	11
112	agriculture	2884	EastGezira	2	0	0	6	0	0	0	0.333333333333333	0.4	0	1	1	10	0	0	12
112	agriculture	2884	EastGezira	2	0	0	7	0	0	0	0.285714285714286	0.333333333333333	0	1	1	10	0	0	13
112	agriculture	2884	EastGezira	2	0	0	8	0	0	0	0.25	0.285714285714286	0	1	1	10	0	0	14
112	agriculture	2884	EastGezira	2	0	0	9	0	0	0	0.222222222222222	0.25	0	1	1	10	0	0	15
112	agriculture	2884	EastGezira	2	0	0	10	0	0	0	0.2	0.222222222222222	0	1	1	10	0	0	16
112	agriculture	2884	EastGezira	3	0	0	1	0	0	0	0	NA	0	1	1	10	0	0	17
112	agriculture	2884	EastGezira	3	0	0	2	0	0	0	0	0	0	1	1	10	0	0	18
112	agriculture	2884	EastGezira	3	0	0	3	1	0	1	0.333333333333333	0	0	1	1	10	0	0	19
112	agriculture	2884	EastGezira	3	0	0	4	0	1	0	0.25	0.333333333333333	0	1	1	10	0	0	20
112	agriculture	2884	EastGezira	3	0	0	5	0	0	0	0.2	0.25	0	1	1	10	0	0	21
112	agriculture	2884	EastGezira	3	0	0	6	0	1	0	0.166666666666667	0.2	0	1	1	10	0	0	22
112	agriculture	2884	EastGezira	3	0	0	7	1	1	1	0.285714285714286	0.166666666666667	0	1	1	10	0	0	23
112	agriculture	2884	EastGezira	3	0	0	8	1	1	1	0.375	0.285714285714286	0	1	1	10	0	0	24
112	agriculture	2884	EastGezira	3	0	0	9	0	0	0	0.333333333333333	0.375	0	1	1	10	0	0	25
112	agriculture	2884	EastGezira	3	0	0	10	0	0	0	0.3	0.333333333333333	0	1	1	10	0	0	26
112	agriculture	2884	EastGezira	4	1	1	1	0	0	0	0	NA	0	1	1	10	10	1	27
112	agriculture	2884	EastGezira	4	1	1	2	0	0	0	0	0	0	1	1	10	10	1	28
112	agriculture	2884	EastGezira	4	1	1	3	0	0	0	0	0	0	1	1	10	10	1	29
112	agriculture	2884	EastGezira	4	1	1	4	0	0	0	0	0	0	1	1	10	10	1	30
112	agriculture	2884	EastGezira	4	1	1	5	0	0	0	0	0	0	1	1	10	10	1	31
112	agriculture	2884	EastGezira	4	1	1	6	0	0	0	0	0	0	1	1	10	10	1	32
112	agriculture	2884	EastGezira	4	1	1	7	0	0	0	0	0	0	1	1	10	10	1	33
112	agriculture	2884	EastGezira	4	1	1	8	0	0	0	0	0	0	1	1	10	10	1	34
112	agriculture	2884	EastGezira	4	1	1	9	0	0	0	0	0	0	1	1	10	10	1	35
112	agriculture	2884	EastGezira	4	1	1	10	0	0	0	0	0	0	1	1	10	10	1	36
112	agriculture	2884	EastGezira	5	1	0	1	0	0	0	0	NA	0	1	1	10	10	1	37
112	agriculture	2884	EastGezira	5	1	0	2	0	0	0	0	0	0	1	1	10	10	1	38
112	agriculture	2884	EastGezira	5	1	0	3	0	0	0	0	0	0	1	1	10	10	1	39
112	agriculture	2884	EastGezira	5	1	0	4	0	0	0	0	0	0	1	1	10	10	1	40
112	agriculture	2884	EastGezira	5	1	0	5	1	0	1	0.2	0	0	1	1	10	10	1	41
112	agriculture	2884	EastGezira	5	1	0	6	0	0	0	0.166666666666667	0.2	0	1	1	10	10	1	42
112	agriculture	2884	EastGezira	5	1	0	7	1	0	1	0.285714285714286	0.166666666666667	0	1	1	10	10	1	43
112	agriculture	2884	EastGezira	5	1	0	8	1	0	1	0.375	0.285714285714286	0	1	1	10	10	1	44
112	agriculture	2884	EastGezira	5	1	0	9	0	0	0	0.333333333333333	0.375	0	1	1	10	10	1	45
112	agriculture	2884	EastGezira	5	1	0	10	0	0	0	0.3	0.333333333333333	0	1	1	10	10	1	46
112	agriculture	2884	EastGezira	6	1	0	1	0	0	0	0	NA	0	1	1	10	10	1	47
112	agriculture	2884	EastGezira	6	1	0	2	0	0	0	0	0	0	1	1	10	10	1	48
112	agriculture	2884	EastGezira	6	1	0	3	1	0	1	0.333333333333333	0	0	1	1	10	10	1	49
112	agriculture	2884	EastGezira	6	1	0	4	1	0	1	0.5	0.333333333333333	0	1	1	10	10	1	50
