session	uniqueCommNum	eastGezira	female	position	check	public	publicFirst	cumNumChecks	cumPropChecks	cumVarChecks	numObsSession	numFemInSession	femaleGroup	maleGroup	mixedGenderGroup	mainIncome	population	checkFirstPosition
1	112	1	0	6	0	1	1	1	0.166666666666667	0.138888888888889	6	0	0	1	0	agriculture	2884	0
1	112	1	0	6	0	0	1	0	0	0	6	0	0	1	0	agriculture	2884	0
2	112	1	0	10	0	1	0	1	0.1	0.09	10	0	0	1	0	agriculture	2884	0
2	112	1	0	10	0	0	0	2	0.2	0.16	10	0	0	1	0	agriculture	2884	0
3	112	1	0	10	0	1	0	4	0.4	0.24	10	0	0	1	0	agriculture	2884	0
3	112	1	0	10	0	0	0	3	0.3	0.21	10	0	0	1	0	agriculture	2884	0
4	112	1	1	10	0	1	1	0	0	0	10	10	1	0	0	agriculture	2884	0
4	112	1	1	10	0	0	1	0	0	0	10	10	1	0	0	agriculture	2884	0
5	112	1	1	10	0	1	0	0	0	0	10	10	1	0	0	agriculture	2884	0
5	112	1	1	10	0	0	0	3	0.3	0.21	10	10	1	0	0	agriculture	2884	0
6	112	1	1	10	0	1	0	0	0	0	10	10	1	0	0	agriculture	2884	0
6	112	1	1	10	1	0	0	5	0.5	0.25	10	10	1	0	0	agriculture	2884	0
7	136	1	1	10	1	1	0	10	1	0	10	10	1	0	0	livestockTrade	456	1
7	136	1	1	10	0	0	0	6	0.6	0.24	10	10	1	0	0	livestockTrade	456	1
8	136	1	0	10	1	1	1	4	0.4	0.24	10	0	0	1	0	livestockTrade	456	0
8	136	1	0	10	1	0	1	4	0.4	0.24	10	0	0	1	0	livestockTrade	456	0
9	136	1	1	10	1	1	1	10	1	0	10	10	1	0	0	livestockTrade	456	1
9	136	1	1	10	1	0	1	10	1	0	10	10	1	0	0	livestockTrade	456	1
10	136	1	0	4	1	1	0	3	0.75	0.1875	4	0	0	1	0	livestockTrade	456	1
10	136	1	0	4	1	0	0	3	0.75	0.1875	4	0	0	1	0	livestockTrade	456	1
11	136	1	1	6	1	1	0	6	1	0	6	6	1	0	0	livestockTrade	456	1
11	136	1	1	6	0	0	0	4	0.666666666666667	0.222222222222222	6	6	1	0	0	livestockTrade	456	1
12	136	1	0	8	0	1	1	7	0.875	0.109375	8	0	0	1	0	livestockTrade	456	1
12	136	1	0	8	0	0	1	5	0.625	0.234375	8	0	0	1	0	livestockTrade	456	0
13	136	1	0	4	1	1	0	2	0.5	0.25	4	0	0	1	0	livestockTrade	456	0
13	136	1	0	4	1	0	0	2	0.5	0.25	4	0	0	1	0	livestockTrade	456	0
14	52	1	0	10	0	1	0	0	0	0	10	0	0	1	0	agriculture	6451	0
14	52	1	0	10	0	0	0	2	0.2	0.16	10	0	0	1	0	agriculture	6451	0
15	52	1	1	10	0	1	1	1	0.1	0.09	10	10	1	0	0	agriculture	6451	0
15	52	1	1	10	0	0	1	0	0	0	10	10	1	0	0	agriculture	6451	0
16	52	1	1	8	0	1	1	1	0.125	0.109375	8	8	1	0	0	agriculture	6451	0
16	52	1	1	8	0	0	1	1	0.125	0.109375	8	8	1	0	0	agriculture	6451	0
17	52	1	0	5	0	1	0	0	0	0	5	0	0	1	0	agriculture	6451	0
17	52	1	0	5	0	0	0	0	0	0	5	0	0	1	0	agriculture	6451	0
18	52	1	0	2	0	1	0	0	0	0	2	0	0	1	0	agriculture	6451	0
18	52	1	0	2	0	0	0	0	0	0	2	0	0	1	0	agriculture	6451	0
19	52	1	0	5	0	1	0	2	0.4	0.24	5	0	0	1	0	agriculture	6451	1
19	52	1	0	5	0	0	0	3	0.6	0.24	5	0	0	1	0	agriculture	6451	1
20	52	1	1	6	0	1	0	1	0.166666666666667	0.138888888888889	6	6	1	0	0	agriculture	6451	0
20	52	1	1	6	0	0	0	1	0.166666666666667	0.138888888888889	6	6	1	0	0	agriculture	6451	0
21	52	1	0	6	0	1	0	1	0.166666666666667	0.138888888888889	6	0	0	1	0	agriculture	6451	0
21	52	1	0	6	0	0	0	1	0.166666666666667	0.138888888888889	6	0	0	1	0	agriculture	6451	0
22	52	1	1	4	1	1	0	2	0.5	0.25	4	4	1	0	0	agriculture	6451	1
22	52	1	1	4	0	0	0	2	0.5	0.25	4	4	1	0	0	agriculture	6451	1
23	91	1	1	7	1	1	1	3	0.428571428571429	0.244897959183673	7	7	1	0	0	labour	4887	0
23	91	1	1	7	1	0	1	5	0.714285714285714	0.204081632653061	7	7	1	0	0	labour	4887	0
24	91	1	1	10	0	1	0	1	0.1	0.09	10	10	1	0	0	labour	4887	0
24	91	1	1	10	0	0	0	3	0.3	0.21	10	10	1	0	0	labour	4887	1
25	91	1	1	10	1	1	1	4	0.4	0.24	10	10	1	0	0	labour	4887	1
25	91	1	1	10	0	0	1	2	0.2	0.16	10	10	1	0	0	labour	4887	0
26	91	1	0	6	0	1	0	2	0.333333333333333	0.222222222222222	6	0	0	1	0	labour	4887	1
26	91	1	0	6	0	0	0	2	0.333333333333333	0.222222222222222	6	0	0	1	0	labour	4887	1
27	91	1	0	10	0	1	0	3	0.3	0.21	10	0	0	1	0	labour	4887	0
27	91	1	0	10	0	0	0	5	0.5	0.25	10	0	0	1	0	labour	4887	1
28	91	1	0	10	0	1	0	1	0.1	0.09	10	0	0	1	0	labour	4887	0
28	91	1	0	10	0	0	0	2	0.2	0.16	10	0	0	1	0	labour	4887	1
29	91	1	0	3	0	1	1	2	0.666666666666667	0.222222222222222	3	0	0	1	0	labour	4887	1
29	91	1	0	3	0	0	1	1	0.333333333333333	0.222222222222222	3	0	0	1	0	labour	4887	1
30	114	1	0	2	0	1	0	1	0.5	0.25	2	0	0	1	0	agriculture	6500	1
30	114	1	0	2	0	0	0	1	0.5	0.25	2	0	0	1	0	agriculture	6500	1
31	114	1	0	9	0	1	0	1	0.111111111111111	0.0987654320987654	9	0	0	1	0	agriculture	6500	0
31	114	1	0	9	0	0	0	1	0.111111111111111	0.0987654320987654	9	0	0	1	0	agriculture	6500	0
32	114	1	0	4	1	1	1	1	0.25	0.1875	4	0	0	1	0	agriculture	6500	0
32	114	1	0	4	1	0	1	1	0.25	0.1875	4	0	0	1	0	agriculture	6500	0
33	114	1	0	10	1	1	1	3	0.3	0.21	10	0	0	1	0	agriculture	6500	0
33	114	1	0	10	0	0	1	2	0.2	0.16	10	0	0	1	0	agriculture	6500	0
34	114	1	1	9	0	1	1	1	0.111111111111111	0.0987654320987654	9	9	1	0	0	agriculture	6500	1
34	114	1	1	9	0	0	1	0	0	0	9	9	1	0	0	agriculture	6500	0
35	114	1	1	10	0	1	1	0	0	0	10	10	1	0	0	agriculture	6500	0
35	114	1	1	10	0	0	1	1	0.1	0.09	10	10	1	0	0	agriculture	6500	0
36	114	1	1	5	0	1	0	0	0	0	5	5	1	0	0	agriculture	6500	0
36	114	1	1	5	1	0	0	3	0.6	0.24	5	5	1	0	0	agriculture	6500	1
37	114	1	1	3	0	1	1	1	0.333333333333333	0.222222222222222	3	3	1	0	0	agriculture	6500	0
37	114	1	1	3	0	0	1	0	0	0	3	3	1	0	0	agriculture	6500	0
38	130	1	0	10	0	1	1	1	0.1	0.09	10	0	0	1	0	agriculture	5424	0
38	130	1	0	10	0	0	1	1	0.1	0.09	10	0	0	1	0	agriculture	5424	0
39	130	1	0	2	0	1	0	0	0	0	2	0	0	1	0	agriculture	5424	0
39	130	1	0	2	0	0	0	0	0	0	2	0	0	1	0	agriculture	5424	0
40	130	1	0	3	0	1	0	0	0	0	3	0	0	1	0	agriculture	5424	0
40	130	1	0	3	0	0	0	0	0	0	3	0	0	1	0	agriculture	5424	0
41	130	1	0	6	0	1	0	0	0	0	6	0	0	1	0	agriculture	5424	0
41	130	1	0	6	0	0	0	2	0.333333333333333	0.222222222222222	6	0	0	1	0	agriculture	5424	1
42	130	1	0	8	0	1	1	0	0	0	8	0	0	1	0	agriculture	5424	0
42	130	1	0	8	0	0	1	0	0	0	8	0	0	1	0	agriculture	5424	0
43	130	1	1	10	0	1	0	2	0.2	0.16	10	10	1	0	0	agriculture	5424	1
43	130	1	1	10	0	0	0	3	0.3	0.21	10	10	1	0	0	agriculture	5424	1
44	130	1	1	10	0	1	0	0	0	0	10	10	1	0	0	agriculture	5424	0
44	130	1	1	10	0	0	0	4	0.4	0.24	10	10	1	0	0	agriculture	5424	1
45	130	1	1	10	1	1	1	7	0.7	0.21	10	10	1	0	0	agriculture	5424	1
45	130	1	1	10	0	0	1	3	0.3	0.21	10	10	1	0	0	agriculture	5424	0
46	85	1	1	10	0	1	0	1	0.1	0.09	10	10	1	0	0	agriculture	1270	0
46	85	1	1	10	0	0	0	4	0.4	0.24	10	10	1	0	0	agriculture	1270	0
47	85	1	1	10	0	1	0	0	0	0	10	10	1	0	0	agriculture	1270	0
47	85	1	1	10	1	0	0	4	0.4	0.24	10	10	1	0	0	agriculture	1270	0
48	85	1	1	9	1	1	1	1	0.111111111111111	0.0987654320987654	9	9	1	0	0	agriculture	1270	0
48	85	1	1	9	0	0	1	0	0	0	9	9	1	0	0	agriculture	1270	0
49	85	1	0	10	0	1	1	1	0.1	0.09	10	0	0	1	0	agriculture	1270	0
49	85	1	0	10	0	0	1	1	0.1	0.09	10	0	0	1	0	agriculture	1270	0
